#,Date-Time (PDT),Ch: 1 - Temperature   (°F),Ch: 2 - RH   (%),Dew Point   (°F),Button Down,Host Connected,End of File
46,04/14/2023 15:11:33,69.68,45.29,47.59,,,
47,04/14/2023 15:16:33,69.56,44.61,47.09,,,
48,04/14/2023 15:21:33,68.69,47.71,48.08,,,
49,04/14/2023 15:26:33,68.67,45.78,46.97,,,
50,04/14/2023 15:31:33,69.20,47.41,48.38,,,
51,04/14/2023 15:36:33,69.35,43.86,46.45,,,
52,04/14/2023 15:41:33,69.45,48.59,49.27,,,
53,04/14/2023 15:46:33,68.87,45.23,46.82,,,
54,04/14/2023 15:51:33,67.07,46.99,46.20,,,
55,04/14/2023 15:56:33,67.05,49.86,47.75,,,
56,04/14/2023 16:01:33,66.63,48.48,46.62,,,
57,04/14/2023 16:06:33,67.34,48.89,47.50,,,
58,04/14/2023 16:11:33,68.31,45.57,46.51,,,
59,04/14/2023 16:16:33,66.32,50.55,47.45,,,
60,04/14/2023 16:21:33,66.26,46.24,45.03,,,
61,04/14/2023 16:26:33,65.55,48.15,45.45,,,
62,04/14/2023 16:31:33,65.24,50.59,46.47,,,
63,04/14/2023 16:36:33,64.27,50.16,45.36,,,
64,04/14/2023 16:41:33,64.60,51.85,46.54,,,
65,04/14/2023 16:46:33,64.93,50.18,45.97,,,
66,04/14/2023 16:51:33,65.16,48.64,45.36,,,
67,04/14/2023 16:56:33,64.85,47.80,44.62,,,
68,04/14/2023 17:01:33,65.37,48.89,45.69,,,
69,04/14/2023 17:06:33,64.35,49.58,45.12,,,
70,04/14/2023 17:11:33,65.37,48.58,45.52,,,
71,04/14/2023 17:16:33,64.85,49.22,45.39,,,
72,04/14/2023 17:21:33,64.62,49.43,45.29,,,
73,04/14/2023 17:26:33,63.73,49.53,44.53,,,
74,04/14/2023 17:31:33,63.13,52.88,45.70,,,
75,04/14/2023 17:36:33,62.32,54.57,45.78,,,
76,04/14/2023 17:41:33,62.40,55.04,46.08,,,
77,04/14/2023 17:46:33,62.23,55.07,45.92,,,
78,04/14/2023 17:51:33,61.45,58.87,46.97,,,
79,04/14/2023 17:56:33,60.89,58.71,46.37,,,
80,04/14/2023 18:01:33,60.59,60.51,46.88,,,
81,04/14/2023 18:06:33,60.22,60.89,46.70,,,
82,04/14/2023 18:11:33,59.76,61.76,46.64,,,
83,04/14/2023 18:16:33,59.35,63.69,47.07,,,
84,04/14/2023 18:21:33,59.12,64.74,47.29,,,
85,04/14/2023 18:26:33,58.81,63.57,46.51,,,
86,04/14/2023 18:31:33,58.37,66.77,47.39,,,
87,04/14/2023 18:36:33,58.04,67.15,47.23,,,
88,04/14/2023 18:41:33,57.73,67.49,47.07,,,
89,04/14/2023 18:46:33,57.52,68.86,47.40,,,
90,04/14/2023 18:51:33,57.01,69.44,47.14,,,
91,04/14/2023 18:56:33,56.51,72.18,47.69,,,
92,04/14/2023 19:01:33,56.15,71.22,46.98,,,
93,04/14/2023 19:06:33,55.72,72.05,46.88,,,
94,04/14/2023 19:11:33,55.41,73.05,46.95,,,
95,04/14/2023 19:16:33,55.10,74.19,47.06,,,
96,04/14/2023 19:21:33,54.76,76.10,47.40,,,
97,04/14/2023 19:26:33,54.49,76.58,47.30,,,
98,04/14/2023 19:31:33,54.50,76.32,47.23,,,
99,04/14/2023 19:36:33,54.02,77.58,47.20,,,
100,04/14/2023 19:41:33,53.67,77.51,46.84,,,
101,04/14/2023 19:46:33,53.11,79.59,47.00,,,
102,04/14/2023 19:51:33,53.08,79.60,46.96,,,
103,04/14/2023 19:56:33,52.61,80.66,46.86,,,
104,04/14/2023 20:01:33,52.92,79.64,46.82,,,
105,04/14/2023 20:06:33,52.88,79.39,46.70,,,
106,04/14/2023 20:11:33,53.11,79.35,46.92,,,
107,04/14/2023 20:16:33,53.08,78.61,46.63,,,
108,04/14/2023 20:21:33,52.88,78.88,46.53,,,
109,04/14/2023 20:26:33,52.88,79.23,46.65,,,
110,04/14/2023 20:31:33,52.71,79.57,46.60,,,
111,04/14/2023 20:36:33,52.73,79.32,46.53,,,
112,04/14/2023 20:41:33,52.67,79.44,46.52,,,
113,04/14/2023 20:46:33,52.73,79.42,46.56,,,
114,04/14/2023 20:51:33,52.75,79.47,46.60,,,
115,04/14/2023 20:56:33,52.48,80.17,46.57,,,
116,04/14/2023 21:01:33,52.42,80.12,46.50,,,
117,04/14/2023 21:06:33,52.38,80.08,46.45,,,
118,04/14/2023 21:11:33,52.11,80.67,46.37,,,
119,04/14/2023 21:16:33,52.11,80.42,46.29,,,
120,04/14/2023 21:21:33,51.92,80.71,46.20,,,
121,04/14/2023 21:26:33,51.55,81.57,46.12,,,
122,04/14/2023 21:31:33,50.41,83.23,45.54,,,
123,04/14/2023 21:36:33,49.29,85.10,45.03,,,
124,04/14/2023 21:41:33,48.40,89.86,45.58,,,
125,04/14/2023 21:46:33,47.81,90.34,45.13,,,
126,04/14/2023 21:51:33,47.36,90.46,44.73,,,
127,04/14/2023 21:56:33,46.76,92.05,44.59,,,
128,04/14/2023 22:01:33,46.34,91.68,44.07,,,
129,04/14/2023 22:06:33,45.88,93.86,44.22,,,
130,04/14/2023 22:11:33,45.51,93.82,43.84,,,
131,04/14/2023 22:16:33,45.24,94.20,43.68,,,
132,04/14/2023 22:21:33,44.95,94.27,43.41,,,
133,04/14/2023 22:26:33,44.81,95.53,43.63,,,
134,04/14/2023 22:31:33,44.70,96.45,43.76,,,
135,04/14/2023 22:36:33,44.60,96.55,43.69,,,
136,04/14/2023 22:41:33,44.47,96.61,43.58,,,
137,04/14/2023 22:46:33,44.20,96.85,43.37,,,
138,04/14/2023 22:51:33,43.94,96.67,43.07,,,
139,04/14/2023 22:56:33,43.85,97.24,43.13,,,
140,04/14/2023 23:01:33,43.67,96.66,42.80,,,
141,04/14/2023 23:06:33,43.54,96.96,42.74,,,
142,04/14/2023 23:11:33,43.25,97.00,42.47,,,
143,04/14/2023 23:16:33,43.00,96.18,41.99,,,
144,04/14/2023 23:21:33,43.48,98.23,43.03,,,
145,04/14/2023 23:26:33,43.58,98.46,43.18,,,
146,04/14/2023 23:31:33,43.52,98.31,43.08,,,
147,04/14/2023 23:36:33,43.67,98.28,43.23,,,
148,04/14/2023 23:41:33,43.73,98.38,43.32,,,
149,04/14/2023 23:46:33,43.64,98.62,43.28,,,
150,04/14/2023 23:51:33,43.48,98.41,43.07,,,
151,04/14/2023 23:56:33,43.44,98.68,43.11,,,
152,04/15/2023 00:01:33,43.11,98.53,42.74,,,
153,04/15/2023 00:06:33,42.75,98.31,42.31,,,
154,04/15/2023 00:11:33,42.69,98.61,42.33,,,
155,04/15/2023 00:16:33,42.38,98.33,41.95,,,
156,04/15/2023 00:21:33,42.48,98.95,42.21,,,
157,04/15/2023 00:26:33,42.54,98.85,42.24,,,
158,04/15/2023 00:31:33,42.69,99.21,42.49,,,
159,04/15/2023 00:36:33,42.71,99.26,42.52,,,
160,04/15/2023 00:41:33,42.75,99.34,42.58,,,
161,04/15/2023 00:46:33,42.48,99.20,42.28,,,
162,04/15/2023 00:51:33,42.59,99.48,42.46,,,
163,04/15/2023 00:56:33,42.50,99.48,42.37,,,
164,04/15/2023 01:01:33,42.15,99.41,42.00,,,
165,04/15/2023 01:06:33,42.15,99.54,42.04,,,
166,04/15/2023 01:11:33,41.96,99.49,41.83,,,
167,04/15/2023 01:16:33,41.94,99.54,41.82,,,
168,04/15/2023 01:21:33,42.09,99.77,42.04,,,
169,04/15/2023 01:26:33,42.34,99.78,42.29,,,
170,04/15/2023 01:31:33,42.46,99.89,42.44,,,
171,04/15/2023 01:36:33,42.54,99.84,42.50,,,
172,04/15/2023 01:41:33,42.46,99.81,42.42,,,
173,04/15/2023 01:46:33,42.21,99.75,42.15,,,
174,04/15/2023 01:51:33,42.03,99.70,41.96,,,
175,04/15/2023 01:56:33,41.86,99.64,41.77,,,
176,04/15/2023 02:01:33,41.80,99.86,41.77,,,
177,04/15/2023 02:06:33,41.78,99.98,41.78,,,
178,04/15/2023 02:11:33,41.78,100.00,41.79,,,
179,04/15/2023 02:16:33,41.82,100.00,41.83,,,
180,04/15/2023 02:21:33,41.82,99.98,41.82,,,
181,04/15/2023 02:26:33,41.78,100.00,41.79,,,
182,04/15/2023 02:31:33,41.63,100.00,41.63,,,
183,04/15/2023 02:36:33,41.98,100.00,41.98,,,
184,04/15/2023 02:41:33,41.94,100.00,41.94,,,
185,04/15/2023 02:46:33,41.98,100.00,41.98,,,
186,04/15/2023 02:51:33,41.82,100.00,41.83,,,
187,04/15/2023 02:56:33,41.74,100.00,41.75,,,
188,04/15/2023 03:01:33,41.72,100.00,41.73,,,
189,04/15/2023 03:06:33,41.98,100.00,41.98,,,
190,04/15/2023 03:11:33,42.17,100.00,42.18,,,
191,04/15/2023 03:16:33,42.50,100.00,42.50,,,
192,04/15/2023 03:21:33,42.86,100.00,42.87,,,
193,04/15/2023 03:26:33,42.32,100.00,42.33,,,
194,04/15/2023 03:31:33,42.28,100.00,42.29,,,
195,04/15/2023 03:36:33,42.19,100.00,42.19,,,
196,04/15/2023 03:41:33,42.11,100.00,42.12,,,
197,04/15/2023 03:46:33,41.92,100.00,41.92,,,
198,04/15/2023 03:51:33,41.80,100.00,41.81,,,
199,04/15/2023 03:56:33,41.63,100.00,41.63,,,
200,04/15/2023 04:01:33,41.82,100.00,41.83,,,
201,04/15/2023 04:06:33,42.28,100.00,42.29,,,
202,04/15/2023 04:11:33,42.01,100.00,42.02,,,
203,04/15/2023 04:16:33,41.76,100.00,41.77,,,
204,04/15/2023 04:21:33,41.82,100.00,41.83,,,
205,04/15/2023 04:26:33,41.80,100.00,41.81,,,
206,04/15/2023 04:31:33,42.32,100.00,42.33,,,
207,04/15/2023 04:36:33,41.96,100.00,41.96,,,
208,04/15/2023 04:41:33,41.74,100.00,41.75,,,
209,04/15/2023 04:46:33,41.47,100.00,41.48,,,
210,04/15/2023 04:51:33,41.55,100.00,41.56,,,
211,04/15/2023 04:56:33,42.05,100.00,42.06,,,
212,04/15/2023 05:01:33,42.19,100.00,42.19,,,
213,04/15/2023 05:06:33,42.88,100.00,42.89,,,
214,04/15/2023 05:11:33,43.02,100.00,43.03,,,
215,04/15/2023 05:16:33,42.86,100.00,42.87,,,
216,04/15/2023 05:21:33,42.88,100.00,42.89,,,
217,04/15/2023 05:26:33,42.61,100.00,42.62,,,
218,04/15/2023 05:31:33,42.34,100.00,42.35,,,
219,04/15/2023 05:36:33,42.79,100.00,42.79,,,
220,04/15/2023 05:41:33,42.34,100.00,42.35,,,
221,04/15/2023 05:46:33,42.28,100.00,42.29,,,
222,04/15/2023 05:51:33,42.07,100.00,42.08,,,
223,04/15/2023 05:56:33,41.84,100.00,41.85,,,
224,04/15/2023 06:01:33,41.98,100.00,41.98,,,
225,04/15/2023 06:06:33,42.07,100.00,42.08,,,
226,04/15/2023 06:11:33,41.59,100.00,41.60,,,
227,04/15/2023 06:16:33,41.49,100.00,41.50,,,
228,04/15/2023 06:21:33,41.44,100.00,41.44,,,
229,04/15/2023 06:26:33,41.82,100.00,41.83,,,
230,04/15/2023 06:31:33,42.03,100.00,42.04,,,
231,04/15/2023 06:36:33,42.34,100.00,42.35,,,
232,04/15/2023 06:41:33,42.44,100.00,42.45,,,
233,04/15/2023 06:46:33,42.59,100.00,42.60,,,
234,04/15/2023 06:51:33,42.61,100.00,42.62,,,
235,04/15/2023 06:56:33,42.83,100.00,42.83,,,
236,04/15/2023 07:01:33,43.31,100.00,43.32,,,
237,04/15/2023 07:06:33,43.48,100.00,43.49,,,
238,04/15/2023 07:11:33,43.91,100.00,43.92,,,
239,04/15/2023 07:16:33,45.37,100.00,45.39,,,
240,04/15/2023 07:21:33,47.19,100.00,47.20,,,
241,04/15/2023 07:26:33,49.20,100.00,49.21,,,
242,04/15/2023 07:31:33,50.18,96.62,49.28,,,
243,04/15/2023 07:36:33,50.99,93.56,49.22,,,
244,04/15/2023 07:41:33,50.88,89.95,48.06,,,
245,04/15/2023 07:46:33,50.91,89.30,47.90,,,
246,04/15/2023 07:51:33,50.99,89.20,47.95,,,
247,04/15/2023 07:56:33,51.69,87.64,48.16,,,
248,04/15/2023 08:01:33,52.46,87.93,49.01,,,
249,04/15/2023 08:06:33,53.27,85.63,49.10,,,
250,04/15/2023 08:11:33,53.60,84.11,48.94,,,
251,04/15/2023 08:16:33,54.25,82.35,49.02,,,
252,04/15/2023 08:21:33,54.72,82.33,49.47,,,
253,04/15/2023 08:26:33,55.53,80.80,49.75,,,
254,04/15/2023 08:31:33,55.95,77.97,49.21,,,
255,04/15/2023 08:36:33,56.69,76.44,49.39,,,
256,04/15/2023 08:41:33,57.25,76.46,49.94,,,
257,04/15/2023 08:46:33,58.46,76.10,50.99,,,
258,04/15/2023 08:51:33,59.00,74.50,50.94,,,
259,04/15/2023 08:56:33,60.18,70.10,50.43,,,
260,04/15/2023 09:01:33,60.91,68.02,50.32,,,
261,04/15/2023 09:06:33,61.61,66.10,50.21,,,
262,04/15/2023 09:11:33,62.90,64.17,50.64,,,
263,04/15/2023 09:16:33,63.21,65.61,51.54,,,
264,04/15/2023 09:21:33,64.54,65.56,52.78,,,
265,04/15/2023 09:26:33,65.88,60.32,51.78,,,
266,04/15/2023 09:31:33,67.01,62.56,53.85,,,
267,04/15/2023 09:36:33,67.92,54.14,50.77,,,
268,04/15/2023 09:41:33,66.86,53.44,49.43,,,
269,04/15/2023 09:46:33,66.49,54.59,49.67,,,
270,04/15/2023 09:51:33,66.07,52.17,48.06,,,
271,04/15/2023 09:56:33,65.76,53.49,48.44,,,
272,04/15/2023 10:01:33,66.20,57.35,50.72,,,
273,04/15/2023 10:06:33,66.98,51.46,48.53,,,
274,04/15/2023 10:11:33,68.35,54.05,51.12,,,
275,04/15/2023 10:16:33,67.38,55.63,51.00,,,
276,04/15/2023 10:21:33,67.81,47.47,47.14,,,
277,04/15/2023 10:26:33,68.21,50.36,49.09,,,
278,04/15/2023 10:31:33,68.02,48.05,47.66,,,
279,04/15/2023 10:36:33,68.58,51.22,49.88,,,
280,04/15/2023 10:41:33,68.81,47.72,48.20,,,
281,04/15/2023 10:46:33,69.97,48.56,49.73,,,
282,04/15/2023 10:51:33,70.34,50.09,50.90,,,
283,04/15/2023 10:56:33,71.01,47.14,49.88,,,
284,04/15/2023 11:01:33,71.88,44.51,49.13,,,
285,04/15/2023 11:06:33,71.55,46.68,50.11,,,
286,04/15/2023 11:11:33,70.61,44.00,47.67,,,
287,04/15/2023 11:16:33,70.86,44.75,48.35,,,
288,04/15/2023 11:21:33,71.78,42.52,47.82,,,
289,04/15/2023 11:26:33,71.80,42.52,47.84,,,
290,04/15/2023 11:31:33,70.47,45.78,48.60,,,
291,04/15/2023 11:36:33,69.81,48.08,49.32,,,
292,04/15/2023 11:41:33,70.82,47.76,50.06,,,
293,04/15/2023 11:46:33,70.03,48.89,49.96,,,
294,04/15/2023 11:51:33,70.74,47.17,49.65,,,
295,04/15/2023 11:56:33,70.80,47.43,49.85,,,
296,04/15/2023 12:01:33,71.11,46.99,49.89,,,
297,04/15/2023 12:06:33,71.61,48.52,51.21,,,
298,04/15/2023 12:11:33,70.24,51.45,51.53,,,
299,04/15/2023 12:16:33,70.95,49.63,51.22,,,
300,04/15/2023 12:21:33,71.22,48.36,50.76,,,
301,04/15/2023 12:26:33,71.82,49.54,51.96,,,
302,04/15/2023 12:31:33,72.63,47.58,51.61,,,
303,04/15/2023 12:36:33,72.15,50.31,52.69,,,
304,04/15/2023 12:41:33,72.28,48.85,52.01,,,
305,04/15/2023 12:46:33,72.13,49.76,52.37,,,
306,04/15/2023 12:51:33,71.86,46.43,50.25,,,
307,04/15/2023 12:56:33,71.44,51.17,52.49,,,
308,04/15/2023 13:01:33,71.18,49.10,51.14,,,
309,04/15/2023 13:06:33,71.20,47.82,50.44,,,
310,04/15/2023 13:11:33,71.03,47.67,50.20,,,
311,04/15/2023 13:16:33,69.99,48.03,49.45,,,
312,04/15/2023 13:21:33,70.64,46.74,49.32,,,
313,04/15/2023 13:26:33,70.18,48.83,50.07,,,
314,04/15/2023 13:31:33,71.47,43.41,48.09,,,
315,04/15/2023 13:36:33,71.15,44.73,48.60,,,
316,04/15/2023 13:41:33,71.22,45.93,49.38,,,
317,04/15/2023 13:46:33,71.78,43.03,48.14,,,
318,04/15/2023 13:51:33,70.84,44.95,48.45,,,
319,04/15/2023 13:56:33,71.53,43.07,47.94,,,
320,04/15/2023 14:01:33,70.35,48.24,49.90,,,
321,04/15/2023 14:06:33,69.89,44.87,47.54,,,
322,04/15/2023 14:11:33,69.87,48.03,49.34,,,
323,04/15/2023 14:16:33,70.16,45.10,47.92,,,
324,04/15/2023 14:21:33,70.61,44.87,48.19,,,
325,04/15/2023 14:26:33,69.83,44.60,47.33,,,
326,04/15/2023 14:31:33,70.24,44.75,47.79,,,
327,04/15/2023 14:36:33,71.73,44.55,49.01,,,
328,04/15/2023 14:41:33,70.68,41.82,46.39,,,
329,04/15/2023 14:46:33,70.93,42.35,46.95,,,
330,04/15/2023 14:51:33,70.34,45.99,48.61,,,
331,04/15/2023 14:56:33,70.76,43.01,47.20,,,
332,04/15/2023 15:01:33,71.40,44.34,48.59,,,
333,04/15/2023 15:06:33,71.45,43.04,47.85,,,
334,04/15/2023 15:11:33,71.05,42.37,47.06,,,
335,04/15/2023 15:16:33,70.82,43.56,47.59,,,
336,04/15/2023 15:21:33,71.13,43.41,47.78,,,
337,04/15/2023 15:26:33,70.61,45.07,48.31,,,
338,04/15/2023 15:31:33,70.68,44.02,47.75,,,
339,04/15/2023 15:36:33,70.95,43.60,47.74,,,
340,04/15/2023 15:41:33,69.76,44.04,46.92,,,
341,04/15/2023 15:46:33,69.29,47.53,48.53,,,
342,04/15/2023 15:51:33,68.95,45.76,47.21,,,
343,04/15/2023 15:56:33,68.89,47.51,48.15,,,
344,04/15/2023 16:01:33,69.20,46.46,47.84,,,
345,04/15/2023 16:06:33,70.45,43.68,47.33,,,
346,04/15/2023 16:11:33,68.60,47.03,47.62,,,
347,04/15/2023 16:16:33,67.52,49.15,47.80,,,
348,04/15/2023 16:21:33,67.46,47.48,46.83,,,
349,04/15/2023 16:26:33,67.19,50.59,48.27,,,
350,04/15/2023 16:31:33,67.38,48.99,47.59,,,
351,04/15/2023 16:36:33,67.54,49.86,48.20,,,
352,04/15/2023 16:41:33,66.44,51.71,48.16,,,
353,04/15/2023 16:46:33,66.44,53.42,49.03,,,
354,04/15/2023 16:51:33,65.32,54.30,48.43,,,
355,04/15/2023 16:56:33,65.16,53.97,48.12,,,
356,04/15/2023 17:01:33,64.66,55.02,48.17,,,
357,04/15/2023 17:06:33,64.83,55.99,48.80,,,
358,04/15/2023 17:11:33,65.01,55.44,48.69,,,
359,04/15/2023 17:16:33,64.10,57.76,48.94,,,
360,04/15/2023 17:21:33,63.39,57.78,48.28,,,
361,04/15/2023 17:26:33,62.71,59.90,48.61,,,
362,04/15/2023 17:31:33,62.86,61.22,49.34,,,
363,04/15/2023 17:36:33,62.42,61.73,49.15,,,
364,04/15/2023 17:41:33,62.25,61.66,48.95,,,
365,04/15/2023 17:46:33,61.88,61.98,48.74,,,
366,04/15/2023 17:51:33,61.44,61.88,48.28,,,
367,04/15/2023 17:56:33,60.91,64.39,48.85,,,
368,04/15/2023 18:01:33,60.64,63.03,48.02,,,
369,04/15/2023 18:06:33,60.37,62.07,47.36,,,
370,04/15/2023 18:11:33,60.05,61.98,47.01,,,
371,04/15/2023 18:16:33,59.97,63.36,47.52,,,
372,04/15/2023 18:21:33,59.58,62.93,46.98,,,
373,04/15/2023 18:26:33,59.22,63.37,46.81,,,
374,04/15/2023 18:31:33,58.95,64.94,47.21,,,
375,04/15/2023 18:36:33,58.79,65.26,47.19,,,
376,04/15/2023 18:41:33,58.42,65.68,47.01,,,
377,04/15/2023 18:46:33,58.00,67.28,47.24,,,
378,04/15/2023 18:51:33,57.75,67.77,47.20,,,
379,04/15/2023 18:56:33,57.48,68.24,47.12,,,
380,04/15/2023 19:01:33,57.25,69.15,47.25,,,
381,04/15/2023 19:06:33,56.86,70.86,47.53,,,
382,04/15/2023 19:11:33,56.59,72.09,47.73,,,
383,04/15/2023 19:16:33,56.20,74.21,48.13,,,
384,04/15/2023 19:21:33,55.95,76.82,48.81,,,
385,04/15/2023 19:26:33,55.57,77.87,48.80,,,
386,04/15/2023 19:31:33,55.12,79.49,48.92,,,
387,04/15/2023 19:36:33,54.78,80.32,48.86,,,
388,04/15/2023 19:41:33,54.45,81.32,48.87,,,
389,04/15/2023 19:46:33,54.29,81.77,48.87,,,
390,04/15/2023 19:51:33,54.22,82.02,48.87,,,
391,04/15/2023 19:56:33,54.06,82.36,48.83,,,
392,04/15/2023 20:01:33,54.04,82.41,48.83,,,
393,04/15/2023 20:06:33,53.83,82.93,48.79,,,
394,04/15/2023 20:11:33,53.89,82.87,48.83,,,
395,04/15/2023 20:16:33,53.71,83.51,48.86,,,
396,04/15/2023 20:21:33,53.06,85.00,48.69,,,
397,04/15/2023 20:26:33,53.00,84.45,48.46,,,
398,04/15/2023 20:31:33,52.25,85.77,48.14,,,
399,04/15/2023 20:36:33,51.32,87.35,47.71,,,
400,04/15/2023 20:41:33,50.62,89.19,47.58,,,
401,04/15/2023 20:46:33,49.95,90.36,47.26,,,
402,04/15/2023 20:51:33,49.33,92.67,47.32,,,
403,04/15/2023 20:56:33,49.02,93.30,47.19,,,
404,04/15/2023 21:01:33,48.81,94.37,47.28,,,
405,04/15/2023 21:06:33,48.46,93.55,46.70,,,
406,04/15/2023 21:11:33,48.10,94.17,46.51,,,
407,04/15/2023 21:16:33,48.29,96.66,47.40,,,
408,04/15/2023 21:21:33,48.40,95.67,47.24,,,
409,04/15/2023 21:26:33,48.17,95.43,46.94,,,
410,04/15/2023 21:31:33,47.71,94.83,46.32,,,
411,04/15/2023 21:36:33,47.54,96.22,46.53,,,
412,04/15/2023 21:41:33,47.38,96.19,46.37,,,
413,04/15/2023 21:46:33,47.15,96.04,46.09,,,
414,04/15/2023 21:51:33,47.17,96.96,46.36,,,
415,04/15/2023 21:56:33,47.11,97.12,46.35,,,
416,04/15/2023 22:01:33,47.09,97.46,46.42,,,
417,04/15/2023 22:06:33,46.80,97.35,46.11,,,
418,04/15/2023 22:11:33,46.55,97.51,45.90,,,
419,04/15/2023 22:16:33,46.28,96.99,45.49,,,
420,04/15/2023 22:21:33,45.99,96.88,45.17,,,
421,04/15/2023 22:26:33,45.97,97.73,45.38,,,
422,04/15/2023 22:31:33,45.82,97.94,45.28,,,
423,04/15/2023 22:36:33,45.99,98.38,45.57,,,
424,04/15/2023 22:41:33,45.86,98.76,45.54,,,
425,04/15/2023 22:46:33,45.91,98.52,45.53,,,
426,04/15/2023 22:51:33,45.80,98.52,45.42,,,
427,04/15/2023 22:56:33,45.62,98.30,45.19,,,
428,04/15/2023 23:01:33,45.62,98.73,45.30,,,
429,04/15/2023 23:06:33,45.55,98.98,45.29,,,
430,04/15/2023 23:11:33,45.41,99.04,45.17,,,
431,04/15/2023 23:16:33,45.10,98.56,44.73,,,
432,04/15/2023 23:21:33,45.08,98.99,44.83,,,
433,04/15/2023 23:26:33,44.81,98.71,44.48,,,
434,04/15/2023 23:31:33,44.58,98.57,44.22,,,
435,04/15/2023 23:36:33,44.49,99.04,44.24,,,
436,04/15/2023 23:41:33,44.37,99.03,44.13,,,
437,04/15/2023 23:46:33,44.41,99.46,44.28,,,
438,04/15/2023 23:51:33,44.47,99.59,44.37,,,
439,04/15/2023 23:56:33,44.49,99.55,44.38,,,
440,04/16/2023 00:01:33,44.23,99.65,44.15,,,
441,04/16/2023 00:06:33,43.85,99.34,43.69,,,
442,04/16/2023 00:11:33,43.81,99.80,43.77,,,
443,04/16/2023 00:16:33,43.81,99.66,43.73,,,
444,04/16/2023 00:21:33,43.58,99.74,43.52,,,
445,04/16/2023 00:26:33,43.67,99.69,43.60,,,
446,04/16/2023 00:31:33,43.66,99.85,43.63,,,
447,04/16/2023 00:36:33,43.85,100.00,43.86,,,
448,04/16/2023 00:41:33,44.12,100.00,44.13,,,
449,04/16/2023 00:46:33,44.08,99.99,44.09,,,
450,04/16/2023 00:51:33,44.08,100.00,44.09,,,
451,04/16/2023 00:56:33,44.06,99.98,44.07,,,
452,04/16/2023 01:01:33,43.89,99.98,43.89,,,
453,04/16/2023 01:06:33,43.73,99.95,43.73,,,
454,04/16/2023 01:11:33,43.64,100.00,43.64,,,
455,04/16/2023 01:16:33,43.75,100.00,43.76,,,
456,04/16/2023 01:21:33,43.64,100.00,43.64,,,
457,04/16/2023 01:26:33,43.37,100.00,43.37,,,
458,04/16/2023 01:31:33,43.35,100.00,43.35,,,
459,04/16/2023 01:36:33,43.17,100.00,43.18,,,
460,04/16/2023 01:41:33,43.06,100.00,43.06,,,
461,04/16/2023 01:46:33,42.88,99.99,42.89,,,
462,04/16/2023 01:51:33,42.84,100.00,42.85,,,
